username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
ANDAorg,2017-10-09 12:39,0,0,Energía solar es el camino. Ayudemos a @IDEBAJO a crea comunidades solares en #PuertoRico https://www. youcaring.com/comitedialogoa mbientalycoquisolar-739871 …,,@IDEBAJO,#PuertoRico,9.17429388043538E+017,https://twitter.com/ANDAorg/status/917429388043538432
ANDAorg,2017-09-30 21:48,1,1,#PR importa 85% de la comida. #Maria afectó seriamente la agricultura. Considere apoyar la agricultura sostenible … https://fo ndoderesilienciapuertorico.tumblr.com/links,,,#PR #Maria,9.14306106587058E+017,https://twitter.com/ANDAorg/status/914306106587058177
ANDAorg,2017-09-30 21:44,0,1,85% of food in #PR is imported. Now #Maria has affected local farms. Consider supporting sustainable agriculture … https://fo ndoderesilienciapuertorico.tumblr.com,,,#PR #Maria,9.14305041535611E+017,https://twitter.com/ANDAorg/status/914305041535610881
ANDAorg,2017-09-28 20:41,1,1,http://www. pbs.org/newshour/rundo wn/can-help-hurricane-victims-puerto-rico/ …,,,,9.1356439593397E+017,https://twitter.com/ANDAorg/status/913564395933970432
