username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
ACUEDUCTOSPR,2017-11-15 12:17,0,1,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30847298506121E+017,https://twitter.com/ACUEDUCTOSPR/status/930847298506121216,
ACUEDUCTOSPR,2017-11-15 12:17,0,0,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30847253782323E+017,https://twitter.com/ACUEDUCTOSPR/status/930847253782323200,
ACUEDUCTOSPR,2017-11-15 12:17,1,1,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30847192553808E+017,https://twitter.com/ACUEDUCTOSPR/status/930847192553807873,
ACUEDUCTOSPR,2017-11-15 12:16,1,2,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30846962198499E+017,https://twitter.com/ACUEDUCTOSPR/status/930846962198499328,
ACUEDUCTOSPR,2017-11-15 12:16,0,0,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30846890882732E+017,https://twitter.com/ACUEDUCTOSPR/status/930846890882732035,
ACUEDUCTOSPR,2017-11-15 12:15,0,0,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30846757755507E+017,https://twitter.com/ACUEDUCTOSPR/status/930846757755506688,
ACUEDUCTOSPR,2017-11-15 12:15,0,0,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30846677480722E+017,https://twitter.com/ACUEDUCTOSPR/status/930846677480722433,
ACUEDUCTOSPR,2017-11-15 12:14,0,2,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30846582081245E+017,https://twitter.com/ACUEDUCTOSPR/status/930846582081245186,
ACUEDUCTOSPR,2017-11-15 12:12,3,6,"Buenas tardes, a las 12:13 pm informa brigada, se instaló Generador estacion de bomba Escorial. Las dos bombas operando manual. Sistema se encuentra en recuperación. ML",,,,9.30845907666469E+017,https://twitter.com/ACUEDUCTOSPR/status/930845907666468866,
ACUEDUCTOSPR,2017-11-14 18:13,3,5,[Ahora] @PresidenteAAA en entrevista con #CarmenJovet en @LoSeTodoTV donde explica método de facturación #PRSeLevanta #AAAparaTodos #UnEquipo pic.twitter.com/5wcCMkRVOn,,@PresidenteAAA @LoSeTodoTV,#CarmenJovet #PRSeLevanta #AAAparaTodos #UnEquipo,9.30574450227077E+017,https://twitter.com/ACUEDUCTOSPR/status/930574450227077120,
ACUEDUCTOSPR,2017-11-14 17:53,0,3,"Buenas tardes, departamento de mantenimiento preventivo son los encargados de brindar el mantenimiento y arreglar los equipos. De todas nuestras instalaciones. ML",,,,9.30569342995005E+017,https://twitter.com/ACUEDUCTOSPR/status/930569342995005441,
ACUEDUCTOSPR,2017-11-14 17:14,0,3,"Buenas tardes, brigada de mantenimiento preventivo de camino a la estación de bombas. Para verificar y cotejar la situación. ML",,,,9.30559610666344E+017,https://twitter.com/ACUEDUCTOSPR/status/930559610666344449,
ACUEDUCTOSPR,2017-11-14 16:01,0,0,"Buenas tardes, personal de FEMA se encuentra realizando mantenimiento al generador. ML",,,,9.30541129581388E+017,https://twitter.com/ACUEDUCTOSPR/status/930541129581387776,
ACUEDUCTOSPR,2017-11-14 15:52,3,3,AAA realizará trabajos programados en Ponce http://www. acueductospr.com/comunicados/de fault?docid=56E7DBF0406281A1042581D8005ABC80 … pic.twitter.com/wwFDOrqTqP,,,,9.30538886450897E+017,https://twitter.com/ACUEDUCTOSPR/status/930538886450896896,
ACUEDUCTOSPR,2017-11-14 15:19,9,17,Personal #RegiónNorte participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Jayuya #UnEquipo pic.twitter.com/gmbTkF1Rwj,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Jayuya #UnEquipo,9.30530759500321E+017,https://twitter.com/ACUEDUCTOSPR/status/930530759500320771,
ACUEDUCTOSPR,2017-11-14 15:05,0,1,"Informan que personal de FEMA, realiza mantenimiento al generador. ML",,,,9.30527147130802E+017,https://twitter.com/ACUEDUCTOSPR/status/930527147130802176,
ACUEDUCTOSPR,2017-11-14 14:49,0,1,"Buenas tardes, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.30523162655318E+017,https://twitter.com/ACUEDUCTOSPR/status/930523162655318018,
ACUEDUCTOSPR,2017-11-14 14:45,9,20,Personal #RegiónMetro junto alcaldesa @LORNNASOTO participan en iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canóvanas pic.twitter.com/aZBgzSOE9d,,@LORNNASOTO @BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Can,9.305222141428E+017,https://twitter.com/ACUEDUCTOSPR/status/930522214142799873,
ACUEDUCTOSPR,2017-11-14 14:27,0,0,"Buenas tardes, al momento no han entregado todos los generadores. Seguimos solicitando a FEMA los generadores para este sistema. ML",,,,9.30517593710088E+017,https://twitter.com/ACUEDUCTOSPR/status/930517593710088193,
ACUEDUCTOSPR,2017-11-14 14:18,0,0,"Buenas tardes, la situación con Caimito ￼se debe a que es un sistema de relevo. Sistema de relevo significa que son varias estaciones de bombas. En estos momentos nos encontramos trabajando arduamente con FEMA, para que nos asignen los generadores para este sistema. ML",,,,9.3051531748649E+017,https://twitter.com/ACUEDUCTOSPR/status/930515317486489600,
ACUEDUCTOSPR,2017-11-14 13:41,0,1,"Buenas tardes, nuestras brigadas finalizaron los trabajos y dejaron operando la estación de bombas. Sistema se encuentra en recuperación. ML",,,,9.30505901814972E+017,https://twitter.com/ACUEDUCTOSPR/status/930505901814972417,
ACUEDUCTOSPR,2017-11-14 13:37,1,3,"Buenas tardes, nuestras brigadas finalizaron los trabajos y dejaron operando la estación de bombas. Sistema se encuentra en recuperación. ML",,,,9.3050505524097E+017,https://twitter.com/ACUEDUCTOSPR/status/930505055240970240,
ACUEDUCTOSPR,2017-11-14 10:40,0,0,"Buenos días, se refiere el caso al área operacional para su cotejo y acción correspondiente. ML",,,,9.30460404622512E+017,https://twitter.com/ACUEDUCTOSPR/status/930460404622512135,
ACUEDUCTOSPR,2017-11-14 10:17,2,0,[Ahora] @PresidenteAAA en entrevista con #RubénSánchez por @WKAQ580 explica proceso de facturación #PRSeLevanta #UnEquipo pic.twitter.com/dM3jxIXqII,,@PresidenteAAA @WKAQ580,#Rub #PRSeLevanta #UnEquipo,9.30454585277338E+017,https://twitter.com/ACUEDUCTOSPR/status/930454585277337600,
ACUEDUCTOSPR,2017-11-14 10:11,0,2,[Ahora] @PresidenteAAA en entrevista con Rubén Sánchez por @WKAQ580 explica proceso de facturación pic.twitter.com/yq44dIPMSw,,@PresidenteAAA @WKAQ580,,9.30453045837779E+017,https://twitter.com/ACUEDUCTOSPR/status/930453045837778945,
ACUEDUCTOSPR,2017-11-14 09:43,7,11,Personal #RegiónNorte participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Jayuya pic.twitter.com/8mQxLSXN3i,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Jayuya,9.30446120534335E+017,https://twitter.com/ACUEDUCTOSPR/status/930446120534335488,
ACUEDUCTOSPR,2017-11-14 09:37,15,30,Personal #RegiónSur participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Villalba @Urayoan51 pic.twitter.com/q6WwLJwxag,,@BeatrizRossello @Urayoan51,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Villalba,9.30444578452361E+017,https://twitter.com/ACUEDUCTOSPR/status/930444578452361217,
ACUEDUCTOSPR,2017-11-14 09:34,1,1,"Buenos días, tenemos brigada en la estación de bomba, identificando el problema. ML",,,,9.30443724672336E+017,https://twitter.com/ACUEDUCTOSPR/status/930443724672335872,
